dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;1.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;2.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;3.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;4.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;5.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;6.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;7.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;8.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;9.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;10.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;11.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;12.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;13.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;14.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;15.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;16.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;17.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;18.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;19.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;20.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;21.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;22.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;23.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;24.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;25.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;26.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;27.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;28.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;29.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;30.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;31.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;32.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;33.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;34.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;35.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;36.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;37.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;38.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;39.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 0% 50%;40.0;0.0;0.0
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;1.0;0.8505747126436781;0.9192546583850932
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;2.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;3.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;4.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;5.0;0.8604651162790697;0.925
